Category_Code,Category_Description,Service_Code,Service_Code_Description,Service_Code_Unit_of_Measure,Container_Size,Is_Rental_Flag,Is_Service_Flag,Inscope_WP_Flag,Inscope_OC_Flag,Service_Lift_Type,Service_Waste_Stream,SK_Service,Activity_Name,Record_Volume,Source_System
900,Miscellaneous,900061,Paper Invoice Fee,EA,0,0,0,0,0,N/A,N/A,85500,Sale of Other,0,VRP
210,Roll On Roll Off Packer,212332,Tip P/Tonne 23M Packer,TON,0,0,1,0,0,RORO,General Waste,31722,C&I,0,VRP
300,Lift On,300641,Deliver 6.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,53968,C&I,0,VRP
240,Hook Lift,241800,Clear 18M Bin (HL),M3,18,0,1,0,0,RORO,General Waste,75947,C&I,1,VRP
180,Front Lift Recycling,183011,Rent Monthly 3.0M Recycle,EA,0,1,0,0,0,Front Lift,Recycling,76786,C&I,0,VRP
500,MGB Rear Lift,500056,Transportation P/Hour,HR,0,0,1,0,0,Rear Lift,General Waste,55217,C&I,0,VRP
900,Miscellaneous,900000,Late Payment Fee,EA,0,0,0,0,0,N/A,N/A,14085,Sale of Other,0,VRP
100,Front Lift,103043,Exchange 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,64917,C&I,0,VRP
290,Roll On Roll Off Recyc Pa,293107,Clear Cust 31M Recyc Pack,M3,31,0,1,0,0,RORO,Recycling,78853,C&I,1,VRP
180,Front Lift Recycling,186041,Deliver 6.0M Recycle Bin,EA,0,0,0,0,0,Front Lift,Recycling,76291,C&I,0,VRP
570,MGB Confidential,572411,Rent Monthly 240LT Conf C,EA,0,1,0,0,0,N/A,N/A,63915,C&I,0,VRP
660,MGB Medical\Pathological,664641,Deliver 240LT Infect Bin,EA,0,0,0,0,0,N/A,N/A,13706,C&I,0,VRP
200,Roll On Roll Off,201032,Tip P/Tonne 10M Bin,TON,0,0,1,0,0,RORO,General Waste,91580,C&I,0,VRP
900,Miscellaneous,900064,On-call Booking Charge,EA,0,0,0,0,0,N/A,N/A,91768,Sale of Other,0,VRP
280,Roll On Roll Off Recyclin,283032,Tip P/Tonne 30M Recycle,TON,0,0,1,0,0,RORO,Recycling,73148,C&I,0,VRP
900,Miscellaneous,900091,Debit Adjustment,ADJ,0,0,0,0,0,N/A,N/A,20741,Sale of Other,0,VRP
457,Subcontractor MGB Confidential,457900,Clear 120LT Conf Cart,M3,0.12,0,1,0,0,N/A,N/A,8096,C&I,1,VRP
300,Lift On,300600,Clear 6.0M Bin (LO),M3,6,0,1,0,0,N/A,N/A,70237,C&I,1,VRP
180,Front Lift Recycling,181511,Rent Monthly 1.5M Recycle,EA,0,1,0,0,0,Front Lift,Recycling,73116,C&I,0,VRP
580,MGB Commercial Recycling,586600,Clear 660LT Recycle Cart,M3,0.66,0,1,0,1,Rear Lift,Recycling,74130,C&I,1,VRP
130,Front Lift Organic,130066,Org Wkly ExtraVisitCharge,EA,0,0,1,0,0,Front Lift,Organic,1743,C&I,0,VRP
100,Front Lift,101572,Clear 1.5M Bin Nil Charge,M3,1.5,0,1,0,0,Front Lift,General Waste,70212,C&I,1,VRP
992,Adjustments,998000,Transfer Father A/C - GST,EA,0,0,0,0,0,N/A,N/A,67320,Sale of Other,0,VRP
300,Lift On,300642,Remove 6.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,75440,C&I,0,VRP
100,Front Lift,101511,Rent Monthly 1.5M Bin,EA,0,1,0,0,0,Front Lift,General Waste,31982,C&I,0,VRP
660,MGB Medical\Pathological,666600,Clear 660LT QuarantineBin,M3,0.66,0,1,0,0,N/A,N/A,9739,C&I,1,VRP
600,MGB Co-Mingle,602442,Remove 240LT Co-Mingle Ca,EA,0,0,0,0,0,Rear Lift,Co-Mingle,69518,C&I,0,VRP
200,Roll On Roll Off,202041,Deliver 20M Bin,EA,0,0,0,0,0,RORO,General Waste,77362,C&I,0,VRP
500,MGB Rear Lift,500141,Deliver 1100LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,20338,C&I,0,VRP
670,MGB Side Lift Recycling,679672,Clear Plastic Bag Nil Chg,M3,1,0,1,0,0,N/A,N/A,54869,C&I,1,VRP
500,MGB Rear Lift,501142,Remove 1.1M Bin,EA,0,0,0,0,0,Rear Lift,General Waste,92052,C&I,0,VRP
240,Hook Lift,243000,Clear 30M Bin (HL),M3,30,0,1,0,0,RORO,General Waste,51118,C&I,1,VRP
180,Front Lift Recycling,186007,Clear Customer 6.0M Recyc,M3,6,0,1,0,1,Front Lift,Recycling,89968,C&I,1,VRP
300,Lift On,300049,Sundry Item,EA,0,0,0,0,0,N/A,N/A,67853,C&I,0,VRP
300,Lift On,300641,Deliver 6.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,89870,C&I,0,VRP
900,Miscellaneous,900064,On-call Booking Charge,EA,0,0,0,0,0,N/A,N/A,41539,Sale of Other,0,VRP
500,MGB Rear Lift,500142,Remove 1100LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,71443,C&I,0,VRP
600,MGB Co-Mingle,601141,Deliver 1100LT Co-Mingle,EA,0,0,0,0,0,Rear Lift,Co-Mingle,67874,C&I,0,VRP
500,MGB Rear Lift,501111,Rent Monthly 1.1M Bin,EA,0,1,0,0,0,Rear Lift,General Waste,55891,C&I,0,VRP
180,Front Lift Recycling,184500,Clear 4.5M Recycle Bin,M3,4.5,0,1,0,1,Front Lift,Recycling,65623,C&I,1,VRP
100,Front Lift,101141,Deliver 1.1M Bin,EA,0,0,0,0,0,Front Lift,General Waste,28853,C&I,0,VRP
500,MGB Rear Lift,500049,Sundry Item,EA,0,0,0,0,0,Rear Lift,General Waste,31860,C&I,0,VRP
100,Front Lift,103000,Clear 3.0M Bin,M3,3,0,1,1,1,Front Lift,General Waste,57594,C&I,1,VRP
240,Hook Lift,247500,Clear 7.5M Bin (HL),M3,7.5,0,1,0,0,RORO,General Waste,67618,C&I,1,VRP
240,Hook Lift,241542,Remove 15M Bin (HL),EA,0,0,0,0,0,RORO,General Waste,83690,C&I,0,VRP
600,MGB Co-Mingle,601106,Clear 1100LT Cart WsteSpc,M3,1.1,0,1,0,1,Rear Lift,Co-Mingle,66868,C&I,1,VRP
992,Adjustments,998000,Transfer Father A/C - GST,EA,0,0,0,0,0,N/A,N/A,29489,Sale of Other,0,VRP
350,Skips,350232,Tip P/Tonne 2.0M Skip Bin,TON,0,0,1,0,0,N/A,N/A,54160,C&I,0,VRP
570,MGB Confidential,572407,Clear Cust 240LT ConfCart,M3,0.24,0,1,0,0,N/A,N/A,31344,C&I,1,VRP
180,Front Lift Recycling,180002,Waste In Bin On Removal,M3,1,0,1,0,0,Front Lift,Recycling,79982,C&I,1,VRP
600,MGB Co-Mingle,601242,Remove 120LT Co-Mingle Ca,EA,0,0,0,0,0,Rear Lift,Co-Mingle,74357,C&I,0,VRP
600,MGB Co-Mingle,602400,Clear 240LT Co-Mingle Car,M3,0.24,0,1,1,1,Rear Lift,Co-Mingle,53029,C&I,1,VRP
200,Roll On Roll Off,202310,Rent 23M Bin,EA,0,1,0,0,0,RORO,General Waste,7611,C&I,0,VRP
500,MGB Rear Lift,500143,Exchange 1100LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,23347,C&I,0,VRP
900,Miscellaneous,900064,On-call Booking Charge,EA,0,0,0,0,0,N/A,N/A,74925,Sale of Other,0,VRP
240,Hook Lift,241542,Remove 15M Bin (HL),EA,0,0,0,0,0,RORO,General Waste,85508,C&I,0,VRP
710,Septic,710050,Septic Service P/Hour,HR,0,0,1,0,0,N/A,N/A,57691,Liquid,0,VRP
260,Hook Lift Small,260810,Rent 8.0M Bin (HL),EA,0,1,0,0,0,N/A,N/A,67288,C&I,0,VRP
100,Front Lift,101500,Clear 1.5M Bin,M3,1.5,0,1,1,1,Front Lift,General Waste,53529,C&I,1,VRP
580,MGB Commercial Recycling,580001,Removal of Loose Recycle,M3,1,0,1,0,0,Rear Lift,Recycling,66556,C&I,1,VRP
240,Hook Lift,241200,Clear 12M Bin (HL),M3,12,0,1,0,0,RORO,General Waste,76515,C&I,1,VRP
500,MGB Rear Lift,501111,Rent Monthly 1.1M Bin,EA,0,1,0,0,0,Rear Lift,General Waste,3903,C&I,0,VRP
500,MGB Rear Lift,502400,Clear 240LT Cart,M3,0.24,0,1,1,1,Rear Lift,General Waste,61608,C&I,1,VRP
500,MGB Rear Lift,501111,Rent Monthly 1.1M Bin,EA,0,1,0,0,0,Rear Lift,General Waste,55873,C&I,0,VRP
100,Front Lift,103542,Remove 3.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,64899,C&I,0,VRP
600,MGB Co-Mingle,602443,Exchange 240LT Co-Mingle,EA,0,0,0,0,0,Rear Lift,Co-Mingle,37915,C&I,0,VRP
500,MGB Rear Lift,506642,Remove 660LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,71039,C&I,0,VRP
470,Subcontractor Liquid,470079,Levy Environmental Permit,EA,0,0,0,0,0,N/A,N/A,77487,C&I,0,VRP
180,Front Lift Recycling,183000,Clear 3.0M Recycle Bin,M3,3,0,1,0,1,Front Lift,Recycling,86568,C&I,1,VRP
350,Skips,350832,Tip P/Tonne 8.0M Skip Bin,TON,0,0,1,0,0,N/A,N/A,46895,C&I,0,VRP
300,Lift On,301241,Deliver 12M Bin (LO),EA,0,0,0,0,0,N/A,N/A,76987,C&I,0,VRP
130,Front Lift Organic,133040,Repair 3.0M Organic Bin,EA,0,0,0,0,0,Front Lift,Organic,4773,C&I,0,VRP
100,Front Lift,103000,Clear 3.0M Bin,M3,3,0,1,1,1,Front Lift,General Waste,64271,C&I,1,VRP
300,Lift On,300800,Clear 8.0M Bin (LO),M3,8,0,1,0,0,N/A,N/A,77481,C&I,1,VRP
140,Front Lift Domestic,143072,Clear 3.0M Muni Nil Chg,M3,3,0,1,0,0,N/A,N/A,3238,C&I,1,VRP
190,Front Lift Co-Mingle,193041,Deliver 3.0M Co-Mingle Bi,EA,0,0,0,0,0,Front Lift,Co-Mingle,52066,C&I,0,VRP
500,MGB Rear Lift,506600,Clear 660LT Cart,M3,0.66,0,1,1,1,Rear Lift,General Waste,85924,C&I,1,VRP
100,Front Lift,103042,Remove 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,88069,C&I,0,VRP
500,MGB Rear Lift,500100,Clear 1100LT Cart,M3,1.1,0,1,1,1,Rear Lift,General Waste,51925,C&I,1,VRP
100,Front Lift,103040,Repair 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,81285,C&I,0,VRP
600,MGB Co-Mingle,601142,Remove 1100LT Co-Mingle C,EA,0,0,0,0,0,Rear Lift,Co-Mingle,91239,C&I,0,VRP
600,MGB Co-Mingle,606642,Remove 660LT Co-Mingle Ca,EA,0,0,0,0,0,Rear Lift,Co-Mingle,89857,C&I,0,VRP
750,Environmental Services,750049,Sundry Item,EA,0,0,0,0,0,N/A,N/A,62592,Liquid,0,VRP
180,Front Lift Recycling,183000,Clear 3.0M Recycle Bin,M3,3,0,1,0,1,Front Lift,Recycling,59931,C&I,1,VRP
240,Hook Lift,243032,Tip P/Tonne 30M Bin (HL),TON,0,0,1,0,0,RORO,General Waste,62925,C&I,0,VRP
200,Roll On Roll Off,201010,Rent 10M Bin,EA,0,1,0,0,0,RORO,General Waste,54375,C&I,0,VRP
457,Subcontractor MGB Confidential,457242,Remove 240LT Conf Cart,EA,0,0,0,0,0,N/A,N/A,91284,C&I,0,VRP
200,Roll On Roll Off,203032,Tip P/Tonne 30M Bin,TON,0,0,1,0,0,RORO,General Waste,76279,C&I,0,VRP
300,Lift On,300400,Clear 4.0M Bin (LO),M3,4,0,1,0,0,N/A,N/A,82876,C&I,1,VRP
730,Grease Trap,730024,Grease Trap Service P/LTR,LTR,0,0,1,0,0,N/A,N/A,66741,Liquid,0,VRP
240,Hook Lift,240641,Deliver 6.0M Bin (HL),EA,0,0,0,0,0,RORO,General Waste,61641,C&I,0,VRP
100,Front Lift,103042,Remove 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,84774,C&I,0,VRP
580,MGB Commercial Recycling,581111,Rent Monthly 1100LT Recyc,EA,0,1,0,0,0,Rear Lift,Recycling,69151,C&I,0,VRP
100,Front Lift,101541,Deliver 1.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,78622,C&I,0,VRP
100,Front Lift,101542,Remove 1.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,86937,C&I,0,VRP
600,MGB Co-Mingle,606641,Deliver 660LT Co-Mingle C,EA,0,0,0,0,0,Rear Lift,Co-Mingle,10732,C&I,0,VRP
600,MGB Co-Mingle,606641,Deliver 660LT Co-Mingle C,EA,0,0,0,0,0,Rear Lift,Co-Mingle,86507,C&I,0,VRP
290,Roll On Roll Off Recyc Pa,293007,Clear Cust 30M Recyc Pack,M3,30,0,1,0,0,RORO,Recycling,90231,C&I,1,VRP
570,MGB Confidential,579400,Clear Conf Archive Box,M3,0,0,1,0,0,N/A,N/A,70657,C&I,1,VRP
100,Front Lift,101572,Clear 1.5M Bin Nil Charge,M3,1.5,0,1,0,0,Front Lift,General Waste,55685,C&I,1,VRP
500,MGB Rear Lift,500100,Clear 1100LT Cart,M3,1.1,0,1,1,1,Rear Lift,General Waste,77702,C&I,1,VRP
300,Lift On,300400,Clear 4.0M Bin (LO),M3,4,0,1,0,0,N/A,N/A,72909,C&I,1,VRP
600,MGB Co-Mingle,601100,Clear 1100LT Co-Mingle Ca,M3,1.1,0,1,1,1,Rear Lift,Co-Mingle,83715,C&I,1,VRP
100,Front Lift,104541,Deliver 4.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,64629,C&I,0,VRP
900,Miscellaneous,900101,Invoice Balance to JDE,EA,0,0,0,0,0,N/A,N/A,79225,Sale of Other,0,VRP
500,MGB Rear Lift,501110,Rent 1.1M Bin,EA,0,1,0,0,0,Rear Lift,General Waste,28726,C&I,0,VRP
200,Roll On Roll Off,202072,Clear 20M Bin Nil Charge,M3,20,0,1,0,0,RORO,General Waste,38031,C&I,1,VRP
600,MGB Co-Mingle,601110,Rent 1100LT Co-Mingle Car,EA,0,1,0,0,0,Rear Lift,Co-Mingle,28871,C&I,0,VRP
350,Skips,350372,Clear 3.0M Skip Nil Chg,M3,3,0,1,0,0,N/A,N/A,82537,C&I,1,VRP
555,MGB Refresh Hygienic,559800,Service Nappy Bin,EA,0,0,1,0,0,N/A,N/A,89122,C&I,1,VRP
580,MGB Commercial Recycling,581210,Rent 120LT Recycle Cart,EA,0,1,0,0,0,Rear Lift,Recycling,76122,C&I,0,VRP
100,Front Lift,101541,Deliver 1.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,79778,C&I,0,VRP
700,Liquid,700321,Waste Oil Service P/LTR,LTR,0,0,1,0,0,N/A,N/A,88115,Liquid,0,VRP
180,Front Lift Recycling,183040,Repair 3.0M Recycle Bin,EA,0,0,0,0,0,Front Lift,Recycling,28065,C&I,0,VRP
300,Lift On,300442,Remove 4.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,91275,C&I,0,VRP
600,MGB Co-Mingle,606641,Deliver 660LT Co-Mingle C,EA,0,0,0,0,0,Rear Lift,Co-Mingle,35765,C&I,0,VRP
100,Front Lift,109915,Fuel Surcharge Front Lift,EA,0,0,0,0,0,Front Lift,General Waste,82778,C&I,0,VRP
900,Miscellaneous,900088,Environmental Fee,EA,0,0,0,0,0,N/A,N/A,30509,Sale of Other,0,VRP
100,Front Lift,100048,Bars \ Locks \ Keys,EA,0,0,0,0,0,Front Lift,General Waste,81704,C&I,0,VRP
180,Front Lift Recycling,184542,Remove 4.5M Recycle Bin,EA,0,0,0,0,0,Front Lift,Recycling,85292,C&I,0,VRP
100,Front Lift,100742,Remove 0.75M Bin,EA,0,0,0,0,0,Front Lift,General Waste,82217,C&I,0,VRP
100,Front Lift,103043,Exchange 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,68577,C&I,0,VRP
500,MGB Rear Lift,501410,Rent 140LT Cart,EA,0,1,0,0,0,Rear Lift,General Waste,76375,C&I,0,VRP
200,Roll On Roll Off,203110,Rent 31M Bin,EA,0,1,0,0,0,RORO,General Waste,20722,C&I,0,VRP
670,MGB Side Lift Recycling,670032,Tip P/Tonne Recycling,TON,0,0,1,0,0,N/A,N/A,82327,C&I,0,VRP
100,Front Lift,103010,Rent 3.0M Bin,EA,0,1,0,0,0,Front Lift,General Waste,68766,C&I,0,VRP
350,Skips,350642,Remove 6.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,37029,C&I,0,VRP
570,MGB Confidential,572442,Remove 240LT Conf Cart,EA,0,0,0,0,0,N/A,N/A,78294,C&I,0,VRP
660,MGB Medical\Pathological,666642,Remove 660LT Quarantine B,EA,0,0,0,0,0,N/A,N/A,170866,C&I,0,VRP
992,Adjustments,998000,Transfer Father A/C - GST,EA,0,0,0,0,0,N/A,N/A,42557,Sale of Other,0,VRP
900,Miscellaneous,900074,Waste Plus(Excess Weight),EA,0,0,0,0,0,N/A,N/A,58933,Sale of Other,0,VRP
200,Roll On Roll Off,202310,Rent 23M Bin,EA,0,1,0,0,0,RORO,General Waste,7741,C&I,0,VRP
670,MGB Side Lift Recycling,679272,Clear Plastic Bale NilChg,M3,1,0,1,0,0,N/A,N/A,89195,C&I,1,VRP
900,Miscellaneous,900064,On-call Booking Charge,EA,0,0,0,0,0,N/A,N/A,89488,Sale of Other,0,VRP
910,Recharges,910090,Credit Adjustment,ADJ,0,0,0,0,0,N/A,N/A,30628,Sale of Other,0,VRP
560,MGB Clinical,565000,Clear 50LT Clinical Bin,M3,0.05,0,1,0,0,N/A,N/A,46540,C&I,1,VRP
350,Skips,350842,Remove 8.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,52034,C&I,0,VRP
350,Skips,350841,Deliver 8.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,4401,C&I,0,VRP
500,MGB Rear Lift,506641,Deliver 660LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,80569,C&I,0,VRP
700,Liquid,700049,Sundry Item,EA,0,0,0,0,0,N/A,N/A,66971,Liquid,0,VRP
300,Lift On,300442,Remove 4.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,60501,C&I,0,VRP
100,Front Lift,103043,Exchange 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,89541,C&I,0,VRP
350,Skips,350800,Clear 8.0M Skip Bin,M3,8,0,1,0,0,N/A,N/A,90972,C&I,1,VRP
500,MGB Rear Lift,500141,Deliver 1100LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,66150,C&I,0,VRP
180,Front Lift Recycling,183041,Deliver 3.0M Recycle Bin,EA,0,0,0,0,0,Front Lift,Recycling,4774,C&I,0,VRP
555,MGB Refresh Hygienic,557281,Mth Charge Air Fresh Fan,EA,0,0,0,0,0,N/A,N/A,55443,C&I,0,VRP
300,Lift On,300241,Deliver 2.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,67854,C&I,0,VRP
900,Miscellaneous,900061,Paper Invoice Fee,EA,0,0,0,0,0,N/A,N/A,82296,Sale of Other,0,VRP
600,MGB Co-Mingle,606600,Clear 660LT Co-Mingle Car,M3,0.66,0,1,1,1,Rear Lift,Co-Mingle,61437,C&I,1,VRP
100,Front Lift,104542,Remove 4.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,76660,C&I,0,VRP
180,Front Lift Recycling,186010,Rent 6.0M Recycle Bin,EA,0,1,0,0,0,Front Lift,Recycling,13955,C&I,0,VRP
200,Roll On Roll Off,200055,Charge Attendance,EA,0,0,0,0,0,RORO,General Waste,9442,C&I,0,VRP
180,Front Lift Recycling,180294,Rebate for Cardboard,TON,0,0,1,0,0,Front Lift,Recycling,40780,Rebate,0,VRP
100,Front Lift,100068,FL Wkly Sched VisitCharge,EA,0,0,1,0,0,Front Lift,General Waste,16431,C&I,0,VRP
100,Front Lift,101510,Rent 1.5M Bin,EA,0,1,0,0,0,Front Lift,General Waste,70150,C&I,0,VRP
200,Roll On Roll Off,202332,Tip P/Tonne 23M Bin,TON,0,0,1,0,0,RORO,General Waste,30839,C&I,0,VRP
350,Skips,350341,Deliver 3.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,50557,C&I,0,VRP
580,MGB Commercial Recycling,586642,Remove 660LT Recycle Cart,EA,0,0,0,0,0,Rear Lift,Recycling,91122,C&I,0,VRP
100,Front Lift,103043,Exchange 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,66859,C&I,0,VRP
555,MGB Refresh Hygienic,557271,Extra Serv Air Fresh Fan,EA,0,0,0,0,0,N/A,N/A,59280,C&I,0,VRP
580,MGB Commercial Recycling,582400,Clear 240LT Recycle Cart,M3,0.24,0,1,0,1,Rear Lift,Recycling,70625,C&I,1,VRP
100,Front Lift,103042,Remove 3.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,90667,C&I,0,VRP
350,Skips,350342,Remove 3.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,53304,C&I,0,VRP
670,MGB Side Lift Recycling,672300,Clear 240LT White Paper R,M3,0.24,0,1,0,0,N/A,N/A,22647,C&I,1,VRP
190,Front Lift Co-Mingle,190002,Waste In Bin On Removal,M3,1,0,1,0,0,Front Lift,Co-Mingle,63978,C&I,1,VRP
500,MGB Rear Lift,500056,Transportation P/Hour,HR,0,0,1,0,0,Rear Lift,General Waste,81532,C&I,0,VRP
570,MGB Confidential,572442,Remove 240LT Conf Cart,EA,0,0,0,0,0,N/A,N/A,16579,C&I,0,VRP
100,Front Lift,101110,Rent 1.1M Bin,EA,0,1,0,0,0,Front Lift,General Waste,67941,C&I,0,VRP
260,Hook Lift Small,260800,Clear 8.0M Bin (HL),M3,8,0,1,0,0,N/A,N/A,53554,C&I,1,VRP
580,MGB Commercial Recycling,589605,Clear Plastic Bale,M3,1,0,1,0,0,Rear Lift,Recycling,77419,C&I,1,VRP
600,MGB Co-Mingle,601141,Deliver 1100LT Co-Mingle,EA,0,0,0,0,0,Rear Lift,Co-Mingle,58056,C&I,0,VRP
240,Hook Lift,247572,Clear 7.5M Bin Nil Charge,M3,7.5,0,1,0,0,RORO,General Waste,55834,C&I,1,VRP
580,MGB Commercial Recycling,582442,Remove 240LT Recycle Cart,EA,0,0,0,0,0,Rear Lift,Recycling,37913,C&I,0,VRP
240,Hook Lift,243042,Remove 30M Bin (HL),EA,0,0,0,0,0,RORO,General Waste,70639,C&I,0,VRP
580,MGB Commercial Recycling,581142,Remove 1100LT Recycle Car,EA,0,0,0,0,0,Rear Lift,Recycling,65515,C&I,0,VRP
580,MGB Commercial Recycling,582410,Rent 240LT Recycle Cart,EA,0,1,0,0,0,Rear Lift,Recycling,62657,C&I,0,VRP
100,Front Lift,100003,Waste In Bin On Exchange,M3,1,0,1,0,0,Front Lift,General Waste,87971,C&I,1,VRP
350,Skips,350642,Remove 6.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,61359,C&I,0,VRP
560,MGB Clinical,560055,Charge Attendance,EA,0,0,0,0,0,N/A,N/A,43120,C&I,0,VRP
600,MGB Co-Mingle,606642,Remove 660LT Co-Mingle Ca,EA,0,0,0,0,0,Rear Lift,Co-Mingle,32367,C&I,0,VRP
300,Lift On,301100,Clear 11M Bin (LO),M3,11,0,1,0,0,N/A,N/A,62348,C&I,1,VRP
550,MGB Hygienic,552200,Service 22LT Sanitary Bin,M3,0.02,0,1,0,0,N/A,N/A,34651,C&I,1,VRP
710,Septic,710141,Deliver Portable Toilet,EA,0,0,0,0,0,N/A,N/A,11586,Liquid,0,VRP
100,Front Lift,104500,Clear 4.5M Bin,M3,4.5,0,1,1,1,Front Lift,General Waste,76659,C&I,1,VRP
180,Front Lift Recycling,180056,Transportation P/Hour,HR,0,0,1,0,0,Front Lift,Recycling,51384,C&I,0,VRP
500,MGB Rear Lift,506643,Exchange 660LT Cart,EA,0,0,0,0,0,Rear Lift,General Waste,60460,C&I,0,VRP
190,Front Lift Co-Mingle,191541,Deliver 1.5M Co-Mingle Bi,EA,0,0,0,0,0,Front Lift,Co-Mingle,89786,C&I,0,VRP
350,Skips,350442,Remove 4.0M Skip Bin,EA,0,0,0,0,0,N/A,N/A,90449,C&I,0,VRP
730,Grease Trap,730024,Grease Trap Service P/LTR,LTR,0,0,1,0,0,N/A,N/A,72766,Liquid,0,VRP
100,Front Lift,102043,Exchange 2.0M Bin,EA,0,0,0,0,0,Front Lift,General Waste,87360,C&I,0,VRP
200,Roll On Roll Off,201500,Clear 15M Bin,M3,15,0,1,0,0,RORO,General Waste,41020,C&I,1,VRP
