Account_ANZSIC,WPF_Flag,LPF_Flag,OCF_Flag,PIF_Flag,Lead_Source,Payment_Terms,EVF_Flag,Weekend_Surcharge_Flag,Account_Number,Area,Banding,Billing_Cycle,Group_Code,Site_Address_City,Site_Address_Postcode,Account_Start_Date,Account_Start_Month_Date,Billing_Address_State,Account_Status,Account_Type,VRP_Instance,VRP_Industrial_Municipal,Paper_Invoice_Billing_Cycle_Flag,SK_Customer,Account_Stop_Date,Account_Restart_Date,Account_Suspend_Date,Account_Stop_Month_Date,Account_Restart_Month_Date,Account_Suspend_Month_Date,Sub_Banding,Account_User_Number,Billing_Address_Postcode,SK_Account_Restart_Date,SK_Account_Restart_Month_Date,SK_Account_Start_Date,SK_Account_Start_Month_Date,SK_Account_Stop_Date,SK_Account_Stop_Month_Date,SK_Account_Suspend_Date,SK_Account_Suspend_Month_Date,Source_System,Accountable_Territory_Manager_Code,Uprate_Category,Company_ID,ANZSIC_Division,ANZSIC_Subdivision,ANZSIC_Group,Futile_Reason_Code,Area_Depot_Description,Site_ID,Is_Contracted,Is_NewBusiness
NULL,1,1,0,1,M,14,1,0,10177413,QLV,SME,M2O,GEN,YEPPOON,4703,2009-01-30,2009-01-01,QLD,C,D,125,I,1,902068,2017-11-10,NULL,2017-08-25,2017-11-01,NULL,2017-08-01,SME,NULL,4703,NULL,NULL,20090130,20090101,20171110,20171101,20170825,20170801,VRP,4234,GEN,2,NULL,NULL,NULL,"B,BN,CO,G,L,SH,SL,SO,WA",Livingstone Shire,NULL,NULL,0
M697,1,1,0,1,N,NULL,1,0,28042129,VMO,SME,M3E,GEN,POOWONG,3988,2005-07-18,2005-07-01,VIC,C,D,824,I,0,1385597,2018-08-14,NULL,NULL,2018-08-01,NULL,NULL,SME,10265391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,23,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",Veterinary Services,NULL,Morwell,NULL,NULL,0
L671,1,1,1,0,E,14,0,0,18298686,QGC,SME,MEO,GEN,SANCTUARY COVE,4212,2017-04-26,2017-04-01,QLD,C,D,110,I,0,237372,2020-06-29,NULL,NULL,2020-06-01,NULL,NULL,SME,FUSCEX,4212,NULL,NULL,20170426,20170401,20200629,20200601,NULL,NULL,VRP,4279,SPEC,1,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Property Operators,"B,BL,BN,CO,G,L,SH,SL,SO,WA,M",Gold Coast C&I,NULL,NULL,0
NULL,0,0,0,0,T,30,0,0,80548645,NEP,National,RNF,CRD,PARRAMATTA,2123,2019-04-26,2019-04-01,QLD,A,INP,310,I,0,4066400,NULL,NULL,NULL,NULL,NULL,NULL,National,NULL,4014,NULL,NULL,20190426,20190401,NULL,NULL,NULL,NULL,VRP,1528,NAT,5,NULL,NULL,NULL,NULL,Erskine Park,FBU568,NULL,0
M692,0,1,0,1,N,NULL,1,0,19462438,NEP,Unassigned,MEO,GEN,SYDNEY,2000,2016-03-09,2016-03-01,NSW,C,T,310,I,0,332636,2020-08-25,NULL,NULL,2020-08-01,NULL,NULL,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,5,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services (Except Computer System Design and Related Services)","Architectural, Engineering and Technical Services",NULL,Erskine Park,NULL,NULL,0
NULL,0,1,0,1,N,NULL,1,0,32995932,VTN,Inside Sales,MEO,GEN,PORT MELBOURNE,3207,2014-11-11,2014-11-01,NSW,Z,D,345,I,0,1972941,2018-06-20,NULL,NULL,2018-06-01,NULL,NULL,Inside Sales,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,8,NULL,NULL,NULL,NULL,Metro Northern,NULL,NULL,0
G426,0,0,0,0,TFA,30,0,0,18399340,QBR,National,MNK,KMT,CABOOLTURE,4510,2019-11-01,2019-11-01,QLD,C,INP,110,I,0,1282150,2021-06-14,NULL,NULL,2021-06-01,NULL,NULL,TFA,FUSCEX,4014,NULL,NULL,20191101,20191101,20210614,20210601,NULL,NULL,VRP,1530,NAT,1,Retail Trade,Other Store-Based Retailing,Department Stores,NULL,Brisbane North C&I,1122,NULL,0
NULL,0,0,0,0,W,0,0,0,73390654,WMA,SME,WE4,GEN,DUNCRAIG,6023,2020-02-12,2020-02-01,WA,C,ST,170,I,0,1603466,2020-02-29,NULL,NULL,2020-02-01,NULL,NULL,SME,WEBWA,6090,NULL,NULL,20200212,20200201,20200229,20200201,NULL,NULL,VRP,6501,GEN,4,NULL,NULL,NULL,NULL,Malaga,NULL,NULL,0
L663,1,1,0,1,A,30,1,0,18271264,QBR,Inside Sales,MEO,GEN,BRISBANE,4000,2015-08-26,2015-08-01,QLD,Z,D,110,I,0,996991,2019-01-31,NULL,2019-01-08,2019-01-01,NULL,2019-01-01,Inside Sales,NULL,4000,NULL,NULL,20150826,20150801,20190131,20190101,20190108,20190101,VRP,1228,GEN,1,"Rental, Hiring and Real Estate Services",Rental and Hiring Services (except Real Estate),Other Goods and Equipment Rental and Hiring,NULL,Brisbane North C&I,NULL,NULL,0
G421,1,1,1,1,A,14,1,0,18840938,NME,Inside Sales,MTO,GEN,MOREE,2400,2020-05-21,2020-05-01,NSW,L,D,320,I,1,1841519,2020-09-04,NULL,2020-10-26,2020-09-01,NULL,2020-10-01,Inside Sales,NULL,2400,NULL,NULL,20200521,20200501,20200904,20200901,20201026,20201001,VRP,2280,GEN,6,Retail Trade,Other Store-Based Retailing,"Furniture, Floor Coverings, Houseware and Textile Goods Retailing",",B,BN,CO,G,L,SH,SL,SO,WA,",Moree,NULL,NULL,0
Q851,0,0,0,1,N,0,0,0,48900939,SSW,Mid Market,W1O,GEN,HOLDEN HILL,5088,2018-10-08,2018-10-01,SA,C,ST,360,I,1,1425970,2018-11-05,NULL,NULL,2018-11-01,NULL,NULL,Mid Market,NULL,5010,NULL,NULL,20181008,20181001,20181105,20181101,NULL,NULL,VRP,5500,GEN,10,Health Care and Social Assistance,Medical and Other Health Care Services,Medical Services,NULL,Southern Adelaide Welland,NULL,NULL,0
N722,0,0,0,0,E,30,0,0,60302132,TDW,SME,WEO,GEN,DARWIN,0801,2019-08-14,2019-08-01,NT,A,D,375,I,0,487369,NULL,NULL,NULL,NULL,NULL,NULL,SME,NULL,0801,NULL,NULL,20190814,20190801,NULL,NULL,NULL,NULL,VRP,8207,GEN,13,Administrative and Support Services,Administrative Services,Travel Agency and Tour Arrangement Services,",B,BN,CO,G,L,SH,SL,SO,WA,",Darwin,NULL,0,0
D281,1,1,1,1,V,14,1,0,80438381,VSY,SME,M7E,GEN,MILDURA,3500,2021-02-04,2021-02-01,VIC,A,T,824,I,0,2396619,NULL,NULL,NULL,NULL,NULL,NULL,SME,NULL,3502,NULL,NULL,20210204,20210201,NULL,NULL,NULL,NULL,VRP,3294,GEN,23,"Electricity, Gas, Water and Waste Services","Water Supply, Sewerage and Drainage Services","Water Supply, Sewerage and Drainage Services","B,BN,CO,G,L,SH,SL,SO,WA",Mildura,NULL,NULL,0
L671,1,1,1,1,C,14,1,1,80580532,NEP,Inside Sales,MEO,GEN,AVALON,2107,2020-09-04,2020-09-01,NSW,C,D,310,I,0,2378608,2021-02-02,NULL,NULL,2021-02-01,NULL,NULL,Inside Sales,NULL,2107,NULL,NULL,20200904,20200901,20210202,20210201,NULL,NULL,VRP,2336,GEN,5,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Property Operators,",B,BN,CO,G,L,SH,SL,SO,WA,",Erskine Park,NULL,NULL,0
E301,0,0,0,0,TFA,14,0,0,18396915,QBR,Inside Sales,MEO,GEN,MORAYFIELD,4506,2019-11-01,2019-11-01,QLD,C,D,110,I,0,1329940,2020-01-17,NULL,NULL,2020-01-01,NULL,NULL,Inside Sales,FUSCEX,4505,NULL,NULL,20191101,20191101,20200117,20200101,NULL,NULL,VRP,4277,GEN,1,Construction,Building Construction,Residential Building Construction,NULL,Brisbane North C&I,NULL,NULL,0
H452,1,1,1,1,M,14,1,0,80356862,VSH,SME,M9E,GEN,MOOROOPNA,3629,2019-03-07,2019-03-01,VIC,A,D,824,I,0,4117786,NULL,NULL,NULL,NULL,NULL,NULL,SME,NULL,3629,NULL,NULL,20190307,20190301,NULL,NULL,NULL,NULL,VRP,3295,GEN,23,Accommodation and Food Services,Food and Beverage Services,"Pubs, Taverns and Bars","B,BN,CO,G,L,SH,SL,SO,WA",Shepparton,NULL,1,0
B109,0,0,0,0,C,145,0,0,53788279,WGF,National,ME2,DEP,KALGOORLIE,6430,2016-10-06,2016-10-01,WA,A,A,735,I,0,3877785,NULL,NULL,NULL,NULL,NULL,NULL,National,53650636,6970,NULL,NULL,20161006,20161001,NULL,NULL,NULL,NULL,VRP,1523,NAT,18,Mining,Exploration and Other Mining Support Services,Other Mining Support Services,NULL,Goldfields,DOWN0144,1,0
H440,1,0,0,0,M,30,0,0,18847364,NWY,Mid Market,MEO,A63,TERRIGAL,2260,2020-11-01,2020-11-01,VIC,A,A,320,I,0,4607456,NULL,NULL,NULL,NULL,NULL,NULL,Mid Market,NULL,3131,NULL,NULL,20201101,20201101,NULL,NULL,NULL,NULL,VRP,NULL,COMP,6,Accommodation and Food Services,Accommodation,Accommodation,"B,BN,CO,G,L,SH,SL,SO,WA",Wyong,NULL,1,0
C203,1,1,0,1,E,14,1,0,18007164,QGC,SME,MEO,GEN,ERNEST,4214,2004-10-11,2004-10-01,QLD,A,A,110,I,0,4421866,NULL,NULL,NULL,NULL,NULL,NULL,SME,NULL,4214,NULL,NULL,20041011,20041001,NULL,NULL,NULL,NULL,VRP,4279,F1Y,1,Manufacturing,Non-Metallic Mineral Product Manufacturing,"Cement, Lime, Plaster and Concrete Product Manufacturing","B,BN,CO,G,L,SH,SL,SO,WA,M",Gold Coast C&I,NULL,1,0
NULL,0,0,0,0,SWR,130,0,0,80407773,VWB,Inside Sales,MWE,GEN,WANNON,3301,2020-07-01,2020-07-01,VIC,A,D,824,I,0,494648,NULL,NULL,NULL,NULL,NULL,NULL,Inside Sales,NULL,3301,NULL,NULL,20200701,20200701,NULL,NULL,NULL,NULL,VRP,3754,GEN,23,NULL,NULL,NULL,NULL,Warrnambool,NULL,1,0
NULL,1,1,1,1,E,14,1,0,82080687,QTW,Unassigned,MEO,GEN,HARLAXTON,4350,2021-06-07,2021-06-01,QLD,C,T,110,I,0,3663641,2021-08-09,NULL,NULL,2021-08-01,NULL,NULL,Unassigned,FUSCEX,4350,NULL,NULL,20210607,20210601,20210809,20210801,NULL,NULL,VRP,4278,GEN,1,NULL,NULL,NULL,NULL,Toowoomba C&I,NULL,NULL,0
E301,0,0,0,0,Y,0,0,0,73367641,WMS,SME,WE4,GEN,MIDVALE,6056,2019-10-29,2019-10-01,WA,C,ST,170,I,0,760054,2019-11-30,NULL,NULL,2019-11-01,NULL,NULL,SME,BOO001,6090,NULL,NULL,20191029,20191001,20191130,20191101,NULL,NULL,VRP,6501,SPEC,4,Construction,Building Construction,Residential Building Construction,NULL,Multiskips,NULL,NULL,0
Q871,1,1,1,1,T,14,0,0,18823424,NNC,Inside Sales,MEO,GEN,WARABROOK,2304,2019-07-01,2019-07-01,NSW,A,C,320,I,0,2162724,NULL,NULL,NULL,NULL,NULL,NULL,Inside Sales,998863,2304,NULL,NULL,20190701,20190701,NULL,NULL,NULL,NULL,VRP,2313,SPEC,6,Health Care and Social Assistance,Social Assistance Services,Child Care Services,"B,BN,CO,G,L,SH,SL,SO,WA",Newcastle,NULL,1,0
P802,1,1,0,1,N,14,0,0,32545747,VTN,SME,MEO,GEN,CRAIGIEBURN,3064,1994-02-08,1994-02-01,VIC,A,C,345,I,0,1817815,NULL,NULL,NULL,NULL,NULL,NULL,SME,3158688,3064,NULL,NULL,19940208,19940201,NULL,NULL,NULL,NULL,VRP,3303,GEN,8,Education and Training,Preschool and School Education,School Education,"B,BN,CO,G,L,SH,SL,SO,WA",Metro Northern,NULL,1,0
I521,1,1,1,1,E,14,1,0,10347682,QTO,SME,MEO,NSS,SOUTH TOWNSVILLE,4810,2018-11-30,2018-11-01,QLD,A,A,125,I,0,4514749,NULL,NULL,NULL,NULL,NULL,NULL,SME,NULL,4810,NULL,NULL,20181130,20181101,NULL,NULL,NULL,NULL,VRP,4220,GEN,2,"Transport, Postal and Warehousing",Transport Support Services,Water Transport Support Services,"B,BN,CO,G,L,SH,SL,SO,WA",Townsville,NULL,0,0
E329,0,1,0,1,E,NULL,1,0,53116419,WMA,SME,ME2,GEN,MORLEY,6062,1997-06-16,1997-06-01,WA,Z,D,170,I,0,498500,2018-06-21,NULL,NULL,2018-06-01,NULL,NULL,SME,3102258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,4,Construction,Construction Services,Other Construction Services,NULL,Malaga,NULL,NULL,0
S953,1,1,1,1,N,14,1,0,19484889,NBA,Inside Sales,MEB,GEN,DUNKELD,2795,2016-11-22,2016-11-01,NSW,A,D,310,I,0,4178576,NULL,NULL,NULL,NULL,NULL,NULL,Inside Sales,NULL,2795,NULL,NULL,20161122,20161101,NULL,NULL,NULL,NULL,VRP,1356,GEN,5,Other Services,Personal and Other Services,Other Personal Services,"B,BN,CO,G,L,SH,SL,SO,WA",Bathurst,NULL,0,0
R911,0,0,0,0,T,0,0,0,27981971,NYY,Mid Market,WEO,GEN,MURRINGO,2586,2019-12-31,2019-12-01,NSW,C,ST,804,I,0,2372612,2020-01-06,NULL,NULL,2020-01-01,NULL,NULL,Mid Market,NULL,2586,NULL,NULL,20191231,20191201,20200106,20200101,NULL,NULL,VRP,2738,GEN,21,Arts and Recreation Services,Sports and Recreation Activities,Sports and Physical Recreation Activities,",B,BN,CO,G,L,SH,SL,SO,WA,",Young,NULL,NULL,0
R912,1,1,1,1,E,14,1,0,18091902,QGC,SME,MEO,GEN,GILSTON,4211,1996-04-11,1996-04-01,QLD,A,C,110,I,0,4334522,NULL,NULL,NULL,NULL,NULL,NULL,SME,NULL,4211,NULL,NULL,19960411,19960401,NULL,NULL,NULL,NULL,VRP,4279,GEN,1,Arts and Recreation Services,Sports and Recreation Activities,Horse and Dog Racing Activities,"B,BN,CO,G,L,SH,SL,SO,WA,M",Gold Coast C&I,NULL,0,0
E301,0,0,0,0,TFA,30,0,0,82044226,QSS,Inside Sales,MEC,M89,LOGAN RESERVE,4133,2021-01-25,2021-01-01,QLD,C,T,110,I,0,2396246,2021-08-01,NULL,NULL,2021-08-01,NULL,NULL,Inside Sales,FUSCEX,4129,NULL,NULL,20210125,20210101,20210801,20210801,NULL,NULL,VRP,4289,GEN,1,Construction,Building Construction,Residential Building Construction,NULL,SmartSkip,NULL,NULL,0
G424,1,1,1,1,N,NULL,1,0,73299248,WMA,SME,ME2,GEN,MALAGA,6944,2018-03-16,2018-03-01,WA,Z,D,170,I,0,1805497,2018-03-23,NULL,NULL,2018-03-01,NULL,NULL,SME,73112833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,4,Retail Trade,Other Store-Based Retailing,Recreational Goods Retailing,NULL,Malaga,NULL,NULL,0
G412,1,1,0,1,E,14,1,0,19449949,NEP,Inside Sales,MEO,GEN,LAKEMBA,2195,2015-09-24,2015-09-01,NSW,Z,D,310,I,0,59435,2019-04-12,NULL,NULL,2019-04-01,NULL,NULL,Inside Sales,NULL,2195,NULL,NULL,20150924,20150901,20190412,20190401,NULL,NULL,VRP,1214,GEN,5,Retail Trade,Food Retailing,Specialised Food Retailing,NULL,Erskine Park,NULL,NULL,0
NULL,0,0,0,0,E,NULL,0,0,33081243,VTN,National,MSO,AMC,CAMPBELLFIELD,3061,2017-06-28,2017-06-01,VIC,Z,A,345,I,0,774,2018-12-31,NULL,NULL,2018-12-01,NULL,NULL,National,CLE3006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,8,NULL,NULL,NULL,NULL,Metro Northern,NULL,NULL,0
Q853,1,1,1,1,N,14,1,0,80700915,VCS,Inside Sales,MEC,GEN,MORNINGTON,3931,2017-11-15,2017-11-01,VIC,A,D,345,I,0,1485343,NULL,2022-01-09,2021-12-21,NULL,2022-01-01,2021-12-01,Inside Sales,NULL,3931,20220109,20220101,20171115,20171101,NULL,NULL,20211221,20211201,VRP,1351,GEN,8,Health Care and Social Assistance,Medical and Other Health Care Services,Allied Health Services,"B,BN,CO,G,L,SH,SL,SO,WA",Metro Southern,NULL,0,0
E301,0,1,0,1,A,130,0,0,49019625,SSW,Mid Market,MEI,J94,HACKHAM,5163,2021-03-01,2021-03-01,SA,C,T,360,I,0,2400645,2021-06-11,NULL,NULL,2021-06-01,NULL,NULL,Mid Market,NULL,5031,NULL,NULL,20210301,20210301,20210611,20210601,NULL,NULL,VRP,5500,GEN,10,Construction,Building Construction,Residential Building Construction,NULL,Southern Adelaide Welland,NULL,NULL,0
G400,1,1,1,1,N,14,1,1,82029821,QCP,SME,MSO,204,ACACIA RIDGE,4110,2020-11-18,2020-11-01,WA,C,A,110,I,0,4587866,2021-04-15,NULL,NULL,2021-04-01,NULL,NULL,SME,FUSCEX,6872,NULL,NULL,20201118,20201101,20210415,20210401,NULL,NULL,VRP,NULL,GEN,1,Retail Trade,Fuel Retailing,Fuel Retailing,",B,BN,CO,G,L,SH,SL,SO,WA,M",Brisbane South C&I,NULL,NULL,0
G425,0,1,0,1,N,NULL,1,0,19462636,NEP,SME,MEO,GEN,NEWTOWN,2042,2016-03-21,2016-03-01,VIC,L,D,310,I,0,261152,2018-02-08,NULL,NULL,2018-02-01,NULL,NULL,SME,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,5,Retail Trade,Other Store-Based Retailing,"Clothing, Footwear and Personal Accessory Retailing",NULL,Erskine Park,NULL,NULL,0
G400,0,0,0,0,T,30,0,0,80776548,VAA,Mid Market,PNV,811,MELBOURNE,3000,2020-05-06,2020-05-01,QLD,C,INT,345,I,0,4466013,2021-01-05,NULL,NULL,2021-01-01,NULL,NULL,Mid Market,NULL,4014,NULL,NULL,20200506,20200501,20210105,20210101,NULL,NULL,VRP,3015,STA,8,Retail Trade,Fuel Retailing,Fuel Retailing,NULL,Cleanskip Vic,5660,NULL,0
NULL,0,0,0,1,N,14,0,0,48915577,SPA,Mid Market,M4O,048,ADELAIDE AIRPORT,5950,2019-01-21,2019-01-01,SA,A,A,360,I,0,4354086,NULL,NULL,NULL,NULL,NULL,NULL,Mid Market,NULL,5162,NULL,NULL,20190121,20190101,NULL,NULL,NULL,NULL,VRP,5716,COMP,10,NULL,NULL,NULL,"B,BN,CO,G,L,P,SH,SL,SO,WA",Port Adelaide,NULL,1,0
E301,0,0,0,0,TFA,30,0,0,18465230,QSS,SME,MEC,M45,WOOLLOONGABBA,4102,2020-07-01,2020-07-01,QLD,Z,T,110,I,0,617570,2019-06-30,NULL,NULL,2019-06-01,NULL,NULL,SME,FUSCEX,4230,NULL,NULL,20200701,20200701,20190630,20190601,NULL,NULL,VRP,4296,GEN,1,Construction,Building Construction,Residential Building Construction,NULL,SmartSkip,NULL,NULL,0
NULL,0,0,0,1,N,30,0,0,48957207,SSW,Mid Market,MEI,GEN,UNLEY PARK,5061,2019-11-19,2019-11-01,SA,C,T,360,I,0,1128746,2019-11-26,NULL,NULL,2019-11-01,NULL,NULL,Mid Market,NULL,5062,NULL,NULL,20191119,20191101,20191126,20191101,NULL,NULL,VRP,5716,GEN,10,NULL,NULL,NULL,NULL,Southern Adelaide Welland,NULL,NULL,0
E301,0,1,0,0,A,30,0,0,18447219,QBC,Inside Sales,MEO,GEN,REDBANK PLAINS,4301,2020-02-14,2020-02-01,QLD,C,ST,110,I,0,106635,2020-05-15,NULL,NULL,2020-05-01,NULL,NULL,Inside Sales,FUSCEX,4012,NULL,NULL,20200214,20200201,20200515,20200501,NULL,NULL,VRP,5709,GEN,1,Construction,Building Construction,Residential Building Construction,NULL,Brisbane C&D,NULL,NULL,0
NULL,0,0,0,0,N,14,0,0,49046938,SSW,NULL,MEI,GEN,PLYMPTON,5038,2021-10-14,2021-10-01,SA,C,T,360,I,0,3685426,2021-10-18,NULL,NULL,2021-10-01,NULL,NULL,NULL,NULL,5075,NULL,NULL,20211014,20211001,20211018,20211001,NULL,NULL,VRP,5500,GEN,10,NULL,NULL,NULL,NULL,Southern Adelaide Welland,NULL,NULL,0
E301,1,1,1,1,TFA,14,0,1,10367224,QTO,SME,MEO,GEN,BOHLE,4818,2019-10-01,2019-10-01,QLD,A,C,125,I,0,2126776,NULL,NULL,NULL,NULL,NULL,NULL,TFA,FUSCEX,4818,NULL,NULL,20191001,20191001,NULL,NULL,NULL,NULL,VRP,4298,GEN,2,Construction,Building Construction,Residential Building Construction,"B,BN,CO,G,L,SH,SL,SO,WA,M",Townsville,NULL,1,0
NULL,0,0,0,1,E,NULL,0,0,33002512,VTN,National,MSO,AMC,LAVERTON NORTH,3026,2015-03-06,2015-03-01,VIC,Z,A,345,I,0,1746636,2018-10-11,NULL,NULL,2018-10-01,NULL,NULL,National,CLE3006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,8,NULL,NULL,NULL,NULL,Metro Northern,NULL,NULL,0
L671,1,1,1,1,N,NULL,1,0,73115268,WMA,SME,ME2,GEN,WARWICK,6024,2014-07-02,2014-07-01,WA,Z,D,170,I,0,1365914,2017-11-09,NULL,2017-05-30,2017-11-01,NULL,2017-05-01,SME,73115268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VRP,NULL,NULL,4,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Property Operators,NULL,Malaga,NULL,NULL,0
